2024-04-16T17:44:37
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
46250,46165,800,85,10,0,-,-,-,-,-,-,-,-
46216,46165,800,51,10,0,-,-,-,-,-,-,-,-
46198,46165,800,33,10,0,-,-,-,-,-,-,-,-
46224,46165,800,59,10,0,-,-,-,-,-,-,-,-
46260,46165,800,95,10,0,-,-,-,-,-,-,-,-
46258,46165,800,93,10,0,-,-,-,-,-,-,-,-
46229,46165,800,64,10,0,-,-,-,-,-,-,-,-
46130,46165,800,-35,10,0,-,-,-,-,-,-,-,-
46137,46165,800,-28,10,0,-,-,-,-,-,-,-,-
46179,46165,800,14,10,0,-,-,-,-,-,-,-,-
46193,46165,800,28,10,0,-,-,-,-,-,-,-,-
46189,46165,800,24,10,0,-,-,-,-,-,-,-,-
46194,46165,800,29,10,0,-,-,-,-,-,-,-,-
46180,46165,800,15,10,0,-,-,-,-,-,-,-,-
46173,46165,800,8,10,0,-,-,-,-,-,-,-,-
46166,46165,800,1,10,0,-,-,-,-,-,-,-,-
46159,46165,800,-6,10,0,-,-,-,-,-,-,-,-
46176,46165,800,11,10,0,-,-,-,-,-,-,-,-
46171,46165,800,6,10,0,-,-,-,-,-,-,-,-
46173,46165,800,8,10,0,-,-,-,-,-,-,-,-
46172,46165,800,7,10,0,-,-,-,-,-,-,-,-
46135,46165,800,-30,10,0,-,-,-,-,-,-,-,-
46166,46165,800,1,10,0,-,-,-,-,-,-,-,-
46183,46165,800,18,10,0,-,-,-,-,-,-,-,-
46180,46165,800,15,10,0,-,-,-,-,-,-,-,-
46177,46165,800,12,10,0,-,-,-,-,-,-,-,-
46145,46165,800,-20,10,0,-,-,-,-,-,-,-,-
46128,46165,800,-37,10,0,-,-,-,-,-,-,-,-
46118,46165,800,-47,10,0,-,-,-,-,-,-,-,-
46132,46165,800,-33,10,0,-,-,-,-,-,-,-,-
46179,46165,800,14,10,0,-,-,-,-,-,-,-,-
46190,46165,800,25,10,0,-,-,-,-,-,-,-,-
46222,46165,800,57,10,0,-,-,-,-,-,-,-,-
46294,46165,800,129,10,0,-,-,-,-,-,-,-,-
46265,46165,800,100,10,0,-,-,-,-,-,-,-,-
46273,46165,800,108,10,0,-,-,-,-,-,-,-,-
46265,46165,800,100,10,0,-,-,-,-,-,-,-,-
46269,46165,800,104,10,0,-,-,-,-,-,-,-,-
46244,46165,800,79,10,0,-,-,-,-,-,-,-,-
46213,46165,800,48,10,0,-,-,-,-,-,-,-,-
46206,46165,800,41,10,0,-,-,-,-,-,-,-,-
46184,46165,800,19,10,0,-,-,-,-,-,-,-,-
46201,46165,800,36,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46204,46165,800,39,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46118,46165,800,-47,10,0,-,-,-,-,-,-,-,-
46131,46165,800,-34,10,0,-,-,-,-,-,-,-,-
46174,46165,800,9,10,0,-,-,-,-,-,-,-,-
46193,46165,800,28,10,0,-,-,-,-,-,-,-,-
46168,46165,800,3,10,0,-,-,-,-,-,-,-,-
46130,46165,800,-35,10,0,-,-,-,-,-,-,-,-
46123,46165,800,-42,10,0,-,-,-,-,-,-,-,-
46079,46165,800,-86,10,0,-,-,-,-,-,-,-,-
46084,46165,800,-81,10,0,-,-,-,-,-,-,-,-
46120,46165,800,-45,10,0,-,-,-,-,-,-,-,-
46125,46165,800,-40,10,0,-,-,-,-,-,-,-,-
46120,46165,800,-45,10,0,-,-,-,-,-,-,-,-
46034,46165,800,-131,10,0,-,-,-,-,-,-,-,-
46028,46165,800,-137,10,0,-,-,-,-,-,-,-,-
46038,46165,800,-127,10,0,-,-,-,-,-,-,-,-
46089,46165,800,-76,10,0,-,-,-,-,-,-,-,-
46109,46165,800,-56,10,0,-,-,-,-,-,-,-,-
